SL,TP,MAX,EARLY,STOP,MAX_POS,TotalPnL,Winrate,MaxDD,Trades,Score
500,2000,120,30,1,5,532.93,0.5545,25.0,101,21.3172
500,2000,120,30,1,10,532.93,0.5545,25.0,101,21.3172
500,2000,60,30,1,10,532.93,0.5545,25.0,101,21.3172
500,2000,60,30,1,5,532.93,0.5545,25.0,101,21.3172
500,2000,60,30,1,4,532.2,0.55,25.0,100,21.288
500,2000,120,30,1,4,532.2,0.55,25.0,100,21.288
500,1800,120,30,1,10,503.38,0.5545,25.0,101,20.1352
500,1800,120,30,1,5,503.38,0.5545,25.0,101,20.1352
500,1800,60,30,1,5,503.38,0.5545,25.0,101,20.1352
500,1800,60,30,1,10,503.38,0.5545,25.0,101,20.1352
500,1800,30,30,1,5,493.29,0.5294,25.0,102,19.7316
500,1800,30,30,1,10,493.29,0.5294,25.0,102,19.7316
500,1800,30,60,1,10,493.29,0.5294,25.0,102,19.7316
500,1800,30,120,1,10,493.29,0.5294,25.0,102,19.7316
500,1800,30,120,1,5,488.79,0.5347,25.0,101,19.5516
500,1800,30,60,1,5,488.79,0.5347,25.0,101,19.5516
500,1800,60,30,1,4,481.31,0.5455,25.0,99,19.2524
500,1800,120,30,1,4,481.31,0.5455,25.0,99,19.2524
500,1800,30,30,1,4,471.22,0.52,25.0,100,18.8488
500,2000,30,120,1,10,522.84,0.5294,28.09,102,18.613
500,2000,30,30,1,10,522.84,0.5294,28.09,102,18.613
500,2000,30,30,1,5,522.84,0.5294,28.09,102,18.613
500,2000,30,60,1,10,522.84,0.5294,28.09,102,18.613
500,2000,30,30,1,4,522.11,0.5248,28.09,101,18.587
500,2000,30,120,1,5,519.97,0.54,28.09,100,18.5109
500,2000,30,60,1,5,519.97,0.54,28.09,100,18.5109
500,1500,120,60,1,10,461.95,0.5408,25.0,98,18.478
500,1500,60,60,1,10,458.62,0.5253,25.0,99,18.3448
500,1500,60,120,1,10,458.62,0.5253,25.0,99,18.3448
500,1500,60,30,1,10,450.84,0.5631,25.0,103,18.0336
500,1500,60,30,1,5,450.84,0.5631,25.0,103,18.0336
500,1500,120,30,1,10,450.84,0.5631,25.0,103,18.0336
500,1500,120,30,1,5,450.84,0.5631,25.0,103,18.0336
500,1800,30,120,1,4,449.69,0.5204,25.0,98,17.9876
500,1800,30,60,1,4,449.69,0.5204,25.0,98,17.9876
500,1500,120,60,1,5,448.67,0.5263,25.0,95,17.9468
500,1500,60,120,1,5,445.77,0.5208,25.0,96,17.8308
